total_bytes_sec,rolling_avg,burst
11837440,0.0,1
101888,0.0,0
2334720,4758016.0,1
6234112,2890240.0,1
4370432,4313088.0,1
1474560,4026368.0,1
28364800,11403264.0,1
102400,9980586.666666666,0
663552,9710250.666666666,0
114688,293546.6666666667,0
35393536,12057258.666666666,1
46960640,27489621.333333332,1
69632,27474602.666666668,0
393216,15807829.333333334,0
98304,187050.66666666666,0
1273856,588458.6666666666,1
24076288,8482816.0,1
1282048,8877397.333333334,1
274432,8544256.0,0
4096,520192.0,0
23613440,7963989.333333333,1
86016,7901184.0,0
98304,7932586.666666667,0
4524032,1569450.6666666667,1
1412096,2011477.3333333333,1
241664,2059264.0,0
46833664,16162474.666666666,1
73728,15716352.0,0
139264,15682218.666666666,0
1900032,704341.3333333334,1
16384,685226.6666666666,0
135168,683861.3333333334,0
454656,202069.33333333334,0
1703424,764416.0,1
94208,750762.6666666666,0
1193984,997205.3333333334,1
47549952,16279381.333333334,1
180224,16308053.333333334,0
196608,15975594.666666666,0
221184,199338.66666666666,0
23724032,8047274.666666667,1
47706112,23883776.0,1
77824,23835989.333333332,0
196608,15993514.666666666,0
118784,131072.0,0
782336,365909.3333333333,0
24047616,8316245.333333333,1
3607040,9478997.333333334,1
131072,9261909.333333334,0
376832,1371648.0,0
499712,335872.0,0
286720,387754.6666666667,0
24576,270336.0,0
69632,126976.0,0
5171200,1755136.0,1
4231168,3157333.3333333335,1
51400704,20267690.666666668,1
0,18543957.333333332,0
958464,17453056.0,0
278528,412330.6666666667,0
23498752,8245248.0,1
4096,7927125.333333333,0
745472,8082773.333333333,0
0,249856.0,0
114688,286720.0,0
434176,182954.66666666666,0
23867392,8138752.0,1
1744896,8682154.666666666,1
237568,8616618.666666666,0
4927488,2303317.3333333335,1
23437312,9534122.666666666,1
46764032,25042944.0,1
135168,23445504.0,0
253952,15717717.333333334,0
475136,288085.3333333333,0
696320,475136.0,0
23621632,8264362.666666667,1
1011712,8443221.333333334,1
745472,8459605.333333334,0
544768,767317.3333333334,0
23404544,8231594.666666667,1
135168,8028160.0,0
569344,8036352.0,0
0,234837.33333333334,0
135168,234837.33333333334,0
434176,189781.33333333334,0
49610752,16726698.666666666,1
274432,16773120.0,0
4462592,18115925.333333332,1
1388544,2041856.0,1
65536,1972224.0,0
0,484693.3333333333,0
561152,208896.0,0
315392,292181.3333333333,0
106496,327680.0,0
2243072,888320.0,1
71534080,24627882.666666668,1
9415168,27730773.333333332,1
2464768,27804672.0,1
665088,4181674.6666666665,0
24799744,9309866.666666666,1
47198208,24221013.333333332,1
823296,24273749.333333332,0
4136960,17386154.666666668,1
885760,1948672.0,0
237568,1753429.3333333333,0
24469504,8530944.0,1
462848,8389973.333333334,0
245760,8392704.0,0
338123264,112943957.33333333,1
34169344,124179456.0,1
89459712,153917440.0,1
5113344,42914133.333333336,1
13068288,35880448.0,1
12593664,10258432.0,1
4755456,10139136.0,1
51332096,22893738.666666668,1
22476288,26187946.666666668,1
389120,24732501.333333332,0
1928192,8264533.333333333,1
26701824,9673045.333333334,1
491008,9707008.0,0
1298432,9497088.0,1
2470912,1420117.3333333333,1
5608448,3125930.6666666665,1
61440,2713600.0,0
11694080,5787989.333333333,1
11800576,7852032.0,1
1073152,8189269.333333333,1
4096,4292608.0,0
23629824,8235690.666666667,1
46759936,23464618.666666668,1
65536,23485098.666666668,0
0,15608490.666666666,0
1892352,652629.3333333334,1
2437120,1443157.3333333333,1
23629824,9319765.333333334,1
638976,8901973.333333334,0
159744,8142848.0,0
7162368,2653696.0,1
24600576,10640896.0,1
1986560,11249834.666666666,1
2404352,9663829.333333334,1
446464,1612458.6666666667,0
303104,1051306.6666666667,0
294912,348160.0,0
23691264,8096426.666666667,1
23379968,15788714.666666666,1
17201152,21424128.0,1
946176,13842432.0,0
32768,6060032.0,0
245760,408234.6666666667,0
0,92842.66666666667,0
487424,244394.66666666666,0
327680,271701.3333333333,0
1560576,791893.3333333334,1
49872896,17253717.333333332,1
585728,17339733.333333332,0
208896,16889173.333333332,0
516096,436906.6666666667,0
23527424,8084138.666666667,1
46874624,23639381.333333332,1
77824,23493290.666666668,0
544768,15832405.333333334,0
237568,286720.0,0
37888,273408.0,0
7948800,2741418.6666666665,1
25957888,11314858.666666666,1
13027840,15644842.666666666,1
778240,13254656.0,0
1122304,4976128.0,1
2589696,1496746.6666666667,1
155648,1289216.0,0
5005824,2583722.6666666665,1
471040,1877504.0,0
4482560,3319808.0,1
47099904,17351168.0,1
356352,17312938.666666668,0
3424825344,1157427200.0,1
4513968128,2646383274.6666665,1
3358720000,3765837824.0,1
763117568,2878601898.6666665,1
2125614592,2082484053.3333333,1
2602172416,1830301525.3333333,1
1293201408,2006996138.6666667,1
516632576,1470668800.0,1
346287104,718707029.3333334,1
2252308480,1038409386.6666666,1
463171584,1020589056.0,1
400343040,1038607701.3333334,1
1947009024,936841216.0,1
2655178752,1667510272.0,1
1287319552,1963169109.3333333,1
0,1314166101.3333333,0
1418534912,901951488.0,1
1953644544,1124059818.6666667,1
2026536960,1799572138.6666667,1
2019454976,1999878826.6666667,1
1967164416,2004385450.6666667,1
2323291648,2103303680.0,1
2547362816,2279272960.0,1
2699554816,2523403093.3333335,1
260788224,1835901952.0,1
3578847232,2179730090.6666665,1
1592406016,1810680490.6666667,1
2600438784,2590564010.6666665,1
2101600256,2098148352.0,1
4096,1567347712.0,0
2585280512,1562294954.6666667,1
1777418240,1454234282.6666667,1
613040128,1658579626.6666667,1
2521894912,1637451093.3333333,1
2485157888,1873364309.3333333,1
1783746560,2263599786.6666665,1
2031505408,2100136618.6666667,1
505475072,1440242346.6666667,1
1135112192,1224030890.6666667,1
2022961152,1221182805.3333333,1
1842095104,1666722816.0,1
1567125504,1810727253.3333333,1
711094272,1373438293.3333333,1
2627436544,1635218773.3333333,1
1898294784,1745608533.3333333,1
2502623232,2342784853.3333335,1
2360020992,2253646336.0,1
2578591744,2480411989.3333335,1
1936223232,2291611989.3333335,1
329322496,1614712490.6666667,1
2578931712,1614825813.3333333,1
1481216000,1463156736.0,1
2531966976,2197371562.6666665,1
2239983104,2084388693.3333333,1
696832000,1822927360.0,1
2549305344,1828706816.0,1
1414479872,1553539072.0,1
1876363776,1946716330.6666667,1
2096422912,1795755520.0,1
2111512576,2028099754.6666667,1
1995627520,2067854336.0,1
1985364480,2030834858.6666667,1
2091614208,2024202069.3333333,1
2656308224,2244428970.6666665,1
2661239296,2469720576.0,1
3337062400,2884869973.3333335,1
2648531456,2882277717.3333335,1
2635964928,2873852928.0,1
2528077824,2604191402.6666665,1
2410598400,2524880384.0,1
2505517056,2481397760.0,1
2604330496,2506815317.3333335,1
2267966464,2459271338.6666665,1
1978362368,2283553109.3333335,1
2100869632,2115732821.3333333,1
2027688448,2035640149.3333333,1
2045441024,2057999701.3333333,1
2107543552,2060224341.3333333,1
1064531968,1739172181.3333333,1
413314048,1195129856.0,1
1286144,493044053.3333333,1
26214400,146938197.33333334,1
22761472,16754005.333333334,1
