timestamp,read_bytes_sec,write_bytes_sec,total_bytes_sec
2025-07-21 11:23:25,0,11837440,11837440
2025-07-21 11:23:26,101888,0,101888
2025-07-21 11:23:27,0,2334720,2334720
2025-07-21 11:23:28,65536,6168576,6234112
2025-07-21 11:23:29,0,4370432,4370432
2025-07-21 11:23:30,1343488,131072,1474560
2025-07-21 11:23:31,114688,28250112,28364800
2025-07-21 11:23:32,32768,69632,102400
2025-07-21 11:23:33,77824,585728,663552
2025-07-21 11:23:34,32768,81920,114688
2025-07-21 11:23:35,0,35393536,35393536
2025-07-21 11:23:36,65536,46895104,46960640
2025-07-21 11:23:37,0,69632,69632
2025-07-21 11:23:38,0,393216,393216
2025-07-21 11:23:39,0,98304,98304
2025-07-21 11:23:40,0,1273856,1273856
2025-07-21 11:23:41,327680,23748608,24076288
2025-07-21 11:23:42,0,1282048,1282048
2025-07-21 11:23:43,0,274432,274432
2025-07-21 11:23:44,0,4096,4096
2025-07-21 11:23:45,65536,23547904,23613440
2025-07-21 11:23:46,0,86016,86016
2025-07-21 11:23:47,40960,57344,98304
2025-07-21 11:23:48,4089856,434176,4524032
2025-07-21 11:23:49,1285120,126976,1412096
2025-07-21 11:23:50,0,241664,241664
2025-07-21 11:23:51,0,46833664,46833664
2025-07-21 11:23:52,45056,28672,73728
2025-07-21 11:23:53,0,139264,139264
2025-07-21 11:23:54,224768,1675264,1900032
2025-07-21 11:23:55,16384,0,16384
2025-07-21 11:23:56,0,135168,135168
2025-07-21 11:23:57,0,454656,454656
2025-07-21 11:23:58,568832,1134592,1703424
2025-07-21 11:23:59,0,94208,94208
2025-07-21 11:24:00,968704,225280,1193984
2025-07-21 11:24:01,101888,47448064,47549952
2025-07-21 11:24:02,0,180224,180224
2025-07-21 11:24:03,32768,163840,196608
2025-07-21 11:24:04,65536,155648,221184
2025-07-21 11:24:05,208896,23515136,23724032
2025-07-21 11:24:06,65536,47640576,47706112
2025-07-21 11:24:07,77824,0,77824
2025-07-21 11:24:08,4096,192512,196608
2025-07-21 11:24:09,0,118784,118784
2025-07-21 11:24:10,491520,290816,782336
2025-07-21 11:24:11,0,24047616,24047616
2025-07-21 11:24:12,3607040,0,3607040
2025-07-21 11:24:13,32768,98304,131072
2025-07-21 11:24:14,4096,372736,376832
2025-07-21 11:24:15,94208,405504,499712
2025-07-21 11:24:16,94208,192512,286720
2025-07-21 11:24:17,0,24576,24576
2025-07-21 11:24:18,32768,36864,69632
2025-07-21 11:24:19,571392,4599808,5171200
2025-07-21 11:24:20,0,4231168,4231168
2025-07-21 11:24:21,131072,51269632,51400704
2025-07-21 11:24:22,0,0,0
2025-07-21 11:24:23,126976,831488,958464
2025-07-21 11:24:24,0,278528,278528
2025-07-21 11:24:25,61440,23437312,23498752
2025-07-21 11:24:26,4096,0,4096
2025-07-21 11:24:27,0,745472,745472
2025-07-21 11:24:28,0,0,0
2025-07-21 11:24:29,0,114688,114688
2025-07-21 11:24:30,303104,131072,434176
2025-07-21 11:24:31,12288,23855104,23867392
2025-07-21 11:24:32,131072,1613824,1744896
2025-07-21 11:24:33,8192,229376,237568
2025-07-21 11:24:34,81920,4845568,4927488
2025-07-21 11:24:35,0,23437312,23437312
2025-07-21 11:24:36,0,46764032,46764032
2025-07-21 11:24:37,0,135168,135168
2025-07-21 11:24:38,196608,57344,253952
2025-07-21 11:24:39,217088,258048,475136
2025-07-21 11:24:40,643072,53248,696320
2025-07-21 11:24:41,65536,23556096,23621632
2025-07-21 11:24:42,675840,335872,1011712
2025-07-21 11:24:43,45056,700416,745472
2025-07-21 11:24:44,380928,163840,544768
2025-07-21 11:24:45,0,23404544,23404544
2025-07-21 11:24:46,118784,16384,135168
2025-07-21 11:24:47,0,569344,569344
2025-07-21 11:24:48,0,0,0
2025-07-21 11:24:49,0,135168,135168
2025-07-21 11:24:50,278528,155648,434176
2025-07-21 11:24:51,0,49610752,49610752
2025-07-21 11:24:52,53248,221184,274432
2025-07-21 11:24:53,4450304,12288,4462592
2025-07-21 11:24:54,1122304,266240,1388544
2025-07-21 11:24:55,65536,0,65536
2025-07-21 11:24:56,0,0,0
2025-07-21 11:24:57,196608,364544,561152
2025-07-21 11:24:58,40960,274432,315392
2025-07-21 11:24:59,102400,4096,106496
2025-07-21 11:25:00,1624576,618496,2243072
2025-07-21 11:25:01,22996480,48537600,71534080
2025-07-21 11:25:02,8673792,741376,9415168
2025-07-21 11:25:03,2100224,364544,2464768
2025-07-21 11:25:04,374272,290816,665088
2025-07-21 11:25:05,1264128,23535616,24799744
2025-07-21 11:25:06,196608,47001600,47198208
2025-07-21 11:25:07,679936,143360,823296
2025-07-21 11:25:08,3420160,716800,4136960
2025-07-21 11:25:09,606720,279040,885760
2025-07-21 11:25:10,192512,45056,237568
2025-07-21 11:25:11,344064,24125440,24469504
2025-07-21 11:25:12,376832,86016,462848
2025-07-21 11:25:13,106496,139264,245760
2025-07-21 11:25:14,337922560,200704,338123264
2025-07-21 11:25:15,33833472,335872,34169344
2025-07-21 11:25:16,88378368,1081344,89459712
2025-07-21 11:25:17,4408832,704512,5113344
2025-07-21 11:25:18,11827200,1241088,13068288
2025-07-21 11:25:19,12200448,393216,12593664
2025-07-21 11:25:20,323584,4431872,4755456
2025-07-21 11:25:21,242688,51089408,51332096
2025-07-21 11:25:22,21730816,745472,22476288
2025-07-21 11:25:23,208896,180224,389120
2025-07-21 11:25:24,1702912,225280,1928192
2025-07-21 11:25:25,626688,26075136,26701824
2025-07-21 11:25:26,273920,217088,491008
2025-07-21 11:25:27,61440,1236992,1298432
2025-07-21 11:25:28,1172480,1298432,2470912
2025-07-21 11:25:29,5186560,421888,5608448
2025-07-21 11:25:30,0,61440,61440
2025-07-21 11:25:31,0,11694080,11694080
2025-07-21 11:25:32,0,11800576,11800576
2025-07-21 11:25:33,0,1073152,1073152
2025-07-21 11:25:34,0,4096,4096
2025-07-21 11:25:35,0,23629824,23629824
2025-07-21 11:25:36,16384,46743552,46759936
2025-07-21 11:25:37,65536,0,65536
2025-07-21 11:25:38,0,0,0
2025-07-21 11:25:39,0,1892352,1892352
2025-07-21 11:25:40,0,2437120,2437120
2025-07-21 11:25:41,49152,23580672,23629824
2025-07-21 11:25:42,421888,217088,638976
2025-07-21 11:25:43,139264,20480,159744
2025-07-21 11:25:44,1038848,6123520,7162368
